uuid,title,author,abstract
0,Tobacco Consumption and High-Sensitivity Cardiac Troponin I in the General Population: The HUNT Study,"Julia Brox Skranes,Magnus Nakrem Lyngbakken,Kristian Hveem,Helge Røsjø,Torbjørn Omland,Julia Brox Skranes,Magnus Nakrem Lyngbakken,Kristian Hveem,Helge Røsjø,Torbjørn Omland","Background Cardiac troponins represent a sensitive index of subclinical myocardial injury and are associated with increased risk of cardiovascular events in the general population. Despite positive associations with cardiovascular risk of both cardiac troponins and cigarette smoking, concentrations of cardiac troponin I measured by high-sensitivity assays (hs-cTnI) are paradoxically lower in current smokers than in never-smokers. The impact of smoking intensity and time from smoking cessation on hs-cTnI remains unknown. Methods and Results hs-cTnI concentrations were measured in 32028 subjects free from cardiovascular disease enrolled in the prospective, population-based HUNT (Trøndelag Health Study). Tobacco habits were self-reported and classified as never (n=14 559), former (n=14 248), and current (n=3221) smokers. Current smokers exhibited significantly lower concentrations of hs-cTnI than never-smokers (P<0.001). In adjusted models, both current smoking (-17.3%; 95% CI, -20.6 to -13.9%) and former smoking (-6.6%; 95% CI, -8.7 to -4.5%) were associated with significantly lower hs-cTnI concentrations. Among former smokers, higher smoking burden (>10 pack-years) were associated with lower concentrations of hs-cTnI. Time since smoking cessation was associated with increasing concentrations of hs-cTnI in a dose-dependent manner (P for trend<0.001), and subjects who quit smoking >30 years ago had concentrations of hs-cTnI comparable with those of never-smokers. Conclusions In the general population, both current and former cigarette smoking is associated with lower concentrations of hs-cTnI. In former smokers, there was a dose-response relationship between pack-years of smoking, and hs-cTnI. Time since smoking cessation was associated with increasing concentrations of hs-cTnI, indicating a continuum of hs-cTnI from current smoker to never-smokers."
1,Approaching towards sustainable supply chain under the spotlight of business intelligence,"Mohammad Reza Seddigh,Sajjad Shokouhyar,Fatemeh Loghmani,Mohammad Reza Seddigh,Sajjad Shokouhyar,Fatemeh Loghmani","These two main objectives of this study are to present a theoretical model to explain how business intelligence capabilities influence the company's supply chain sustainability and to examine the relationships among different BI and CSCS dimensions. This study was conducted with the use of a standard BI questionnaire along with the United Nations CSCS questionnaire among 234 Iranian pharmaceutical companies, from which 188 were also surveyed. Smart pls3 and partial least squares methods were used for validity as well as reliability evaluation of the measurement model. According to the findings, BI significantly affects the sustainability of the pharmaceutical supply chain and some of its dimensions, including vision, scope, and internal aspects, thereby the hypothesis indicating the effect of BI on these dimensions was accepted. However, there was an insignificantly positive relationship between BI and the other dimensions of CSCS, including expectation, engagement, and goals; hence, the hypothesis indicating the effect of BI on these dimensions was rejected. If the policy of the board is to implement supply chain sustainability, BI can have a greater impact on the company. Otherwise, BI may be implemented with not much effect though it can be indirectly beneficial to these companies. No studies have been performed on direct examination of the relationship of BI and CSCS and their various dimensions with the use of an extensive survey among Iran's pharmaceutical companies. Also, this study reveals some facts about the sustainability of the pharmaceutical supply chain, BI, and relevant issues as significant obstacles against a sustainable supply chain and BI. This article also supports the UN questionnaire on supply chain sustainability and adopts it in the surveys. Furthermore, various social networks such as Facebook, Twitter, and Instagram were compared, and it was concluded that the data required for the pharmaceutical industry was more accessible from Twitter, in comparison to the other social networks."
2,Does globalization matter for ecological footprint in Turkey? Evidence from dual adjustment approach,"Kirikkaleli, Dervis; Adebayo, Tomiwa Sunday; Khan, Zeeshan; Ali, Shahid","The main aim of this paper is to explore the role of globalization on ecological footprint in Turkey while controlling energy consumption, economic growth, and trade openness. To achieve this objective, we employ dual adjustment approach. The main novelty of the dual adjustment approach is that the method offers another path to the cointegration analysis by relaxing the implicit assumption of the singular adjustment in cointegration analysis. The findings clearly reveal that (i) in the long run, globalization impacts ecological footprint positively and (ii) trade openness reduces ecological footprint in the short run, while ecological footprint is negatively affected by GDP growth in both the short and the long run. In terms of policy implications, this study suggests that in order to improve the environmental quality, Turkey should adopt such policies that encourage energy consumers to shift toward renewable energy. Moreover, the government should take necessary steps to diversify the overall energy mix toward renewable energy."
3,Myths and Misconceptions About University Student Volunteering: Development and Perpetuation,"Megan Paull,Kirsten Holmes,Maryam Omari,Debbie Haski-Leventhal,Judith MacCallum,Susan Young,Rowena Scott,Megan Paull,Kirsten Holmes,Maryam Omari,Debbie Haski-Leventhal,Judith MacCallum,Susan Young,Rowena Scott","This paper examines myths and misconceptions about university student volunteering. Our study explored the experiences of students, host organisations and universities participating in volunteering in Australia, identify good practice, and discover barriers to success. A qualitative approach involved 60 semi-structured interviews with stakeholders. Students were often seen as being energetic, having flexible time and having skills associated with their studies. Some organisations, however, viewed students as unreliable, hard to manage and requiring specific programs. Some hosts were viewed as not valuing student volunteers, or not having the capacity to supervise. These perceptions were found to be nuanced. Erroneous myths were seen to develop from a single event, later confirmed by a 'related' event; in scenarios with multiple players, motivations, and complexities. The potential for misconceptions to undermine the true value of student volunteering for all stakeholders is ameliorated when there is common understanding, clear expectation setting, and ongoing dialogue."
4,Antioxidant Status of Rat Liver Mitochondria under Conditions of Moderate Hypothermia of Different Duration,"S I Khizrieva,R A Khalilov,A M Dzhafarova,V R Abdullaev,S I Khizrieva,R A Khalilov,A M Dzhafarova,V R Abdullaev","For evaluation of the contribution of the antioxidant system of mitochondria into the dynamics of changes in the prooxidant status, the content and activity of some of its components were studied under conditions of moderate hypothermia of varying duration. It was found that short-term hypothermia significantly increased superoxide dismutase activity and decreased the levels of low-molecular-weight antioxidants. Increasing the duration of hypothermia to 1 h led to suppression of activities of superoxide dismutase, glutathione reductase, and glutathione peroxidase and a decrease in glutathione content. Further prolongation of hypothermia (to 3 h) was associated with a significant increase in superoxide dismutase and glutathione peroxidase activities and normalization of the rate of glutathione reductase catalysis; the concentration of glutathione increased significantly."
5,Business transformation in an age of turbulence - Lessons learned from COVID-19,"Xishu Li,Maarten Voorneveld,René de Koster,Xishu Li,Maarten Voorneveld,René de Koster","The COVID-19 pandemic has caused global economic turmoil. Although many companies have suffered huge losses, some have flourished by changing their old ways of doing business. We investigate the business transformation process under drastic market changes and time pressure, with a focus on decision speed and structure in the decision & planning phase, the implementation structure and monitoring in the implementation phase, and reinforcement after the implementation. Through case studies in a variety of industries, including manufacturing, e-commerce, and finance, we explore how companies in specific contexts have dealt with the above-mentioned critical factors when transforming their business during the pandemic, whether the experienced transformation processes differ from theory, and if so, how. The examples of business transformations cover eight categories, including work from home, the use of augmented reality, internet of things, and business model redesign. Our findings reveal how these transformations are perceived and evaluated by companies one year into the pandemic. In addition, we show how decision speed, structure of the decision-making process, structure of the implementation process, and scale of the implementation impact the completion time of the transformations. Based on our results, we provide suggestions to companies for an effective business transformation in times of crisis."
6,Ameliorative effects of ribes rubrum oil against gastric ulcers caused by indomethacin in experimental models,"Mohamed Farouk Elsadek,Alyah Almoajel,Mohammed Fawzi Farahat,Mohamed Farouk Elsadek,Alyah Almoajel,Mohammed Fawzi Farahat","The objective of this study was to assess the anti-inflammatory effects of ribes rubrum oil at three different doses (5, 10 and 15 ml/kg b.w/day) in adult male albino rats with indomethacin-induced stomach ulcers (IND). Forty rats (135 ± 5 g) categorized into 5 groups (n = 8), for 45 days. Group (1) normal control, thirty-two rats were gavaged IND as single oral dose (30 mg/Kg b.w) resulted in gastric ulcer, then distributed to four groups, group (2) IND-intoxicated control, Groups 3, 4 and 5 were administrated ribes rubrum oil at levels of (5, 10 & 15 ml/kg b.w) respectively. Administrated levels of ribes rubrum oil found to have remarkable elevation in food conversion efficiency in experimental rats, gastric juice pH, in compared to the drunken control group, gastric prostaglandin E2 and gastric cytochrome P450 reductase levels were lower. The levels of pro-inflammatory cytokines NO, TNF-, and IL-1 were dramatically reduced, which was related with an increase in blood hemoglobin (Hb), packed cell volume (PCV), and red blood cells (RBCs)in ulcerogenic rats compared to intoxicated control. Data showed that, the main components of ribes rubrum oil are β-Pinene, γ-linolenic and Linalool oxide levels (25.9%, 23.10% and 10.5%, respectively) for their antioxidant activity. Findings showed that administrate ribes rubrum oil at dose 15 ml/kg followed by 10 ml/kg had the best results against ulcerogenic rats. In conclusion, the outcomes are consistent with the concept that ribes rubrum oil had a gastroprotective and antisecretory effects against gastric ulcer that may be attributed to the antioxidant properties of the oil that ameliorates the damage occur in gastric of rats."
7,Reconstruction and Exploratory Analysis of mTORC1 Signaling Pathway and Its Applications to Various Diseases Using Network-Based Approach,"Richa Buddham,Sweety Chauhan,Priyanka Narad,Puniti Mathur,Richa Buddham,Sweety Chauhan,Priyanka Narad,Puniti Mathur","Mammalian target of rapamycin (mTOR) is a serine-threonine kinase member of the cellular phosphatidylinositol 3-kinase (PI3K) pathway, which is involved in multiple biological functions by transcriptional and translational control. mTOR is a downstream mediator in the PI3K/Akt signaling pathway and plays a critical role in cell survival. In cancer, this pathway can be activated by membrane receptors, including the HER (or ErbB) family of growth factor receptors, the insulin-like growth factor receptor, and the estrogen receptor. In the present work, we congregated an electronic network of mTORC1 built on an assembly of data using natural language processing, consisting of 470 edges (activations/interactions and/or inhibitions) and 206 nodes representing genes/proteins, using the Cytoscape 3.6.0 editor and its plugins for analysis. The experimental design included the extraction of gene expression data related to five distinct types of cancers, namely, pancreatic ductal adenocarcinoma, hepatic cirrhosis, cervical cancer, glioblastoma, and anaplastic thyroid cancer from Gene Expression Omnibus (NCBI GEO) followed by pre-processing and normalization of the data using R & Bioconductor. ExprEssence plugin was used for network condensation to identify differentially expressed genes across the gene expression samples. Gene Ontology (GO) analysis was performed to find out the over-represented GO terms in the network. In addition, pathway enrichment and functional module analysis of the protein-protein interaction (PPI) network were also conducted. Our results indicated NOTCH1, NOTCH3, FLCN, SOD1, SOD2, NF1, and TLR4 as upregulated proteins in different cancer types highlighting their role in cancer progression. The MCODE analysis identified gene clusters for each cancer type with MYC, PCNA, PARP1, IDH1, FGF10, PTEN, and CCND1 as hub genes with high connectivity. MYC for cervical cancer, IDH1 for hepatic cirrhosis, MGMT for glioblastoma and CCND1 for anaplastic thyroid cancer were identified as genes with prognostic importance using survival analysis."
8,"Distribution, sources and human risk of perfluoroalkyl acids (PFAAs) in a receiving riverine environment of the Nanjing urban area, East China","Dong, Huike; Lu, Guanghua; Yan, Zhenhua; Liu, Jianchao; Yang, Haohan; Zhang, Peng; Jiang, Runren; Bao, Xuhui; Nkoom, Matthew","In recent years, perfluoroalkyl acids (PFAAs) have become ubiquitously distributed in water environments, especially in riverine waters receiving effluents from wastewater treatment plants (WWTPs) in urban areas. With rapid economic development, China has become the main market of manufacturing and consuming fluorinated products. While studies concerning PFAAs on dimension of urban water system are scarce. To elucidate the distribution patterns of PFAAs using multi-matrices, the effects of spatial-temporal factors on the partition behaviors of PFAAs were investigated in different riverine environments in the downtown area of Nanjing, East China. Predominated by perfluorooctanoic acid (PFOA), sum PFAAs ( PFAAs) in the water phase were with concentrations of 0.8(similar to)274.6 ng/L, characteristically higher in the dry season and lower in the wet season. The composition profiles in sediments ( PFAAs 0.8-11.4 ng/g dry weight) differed from that in water, being with a larger proportion of longer-chain PFAAs. The main sources of PFAAs in water were identified as industrial discharge, uncontrolled sewage discharge or WWTP effluents, surface runoff and nonpoint sources. The discharge fluxes of EPFAAs from Nanjing City can reach at 916.5 g/d for the Qinhuai River and 134.1 g/d for WWTPs along the Yangtze River. Fish have been shown to accumulate PFAAs in various tissues, with bioaccumulation positively correlated with perfluoroalkyl chain length. The hazard indexes associated with consumption of river fish were estimated low for Nanjing local population."
9,Serum GDF-15 Predicts In-Hospital Mortality and Arrhythmic Risks in Patients With Acute Myocardial Infarction,"Qiuping Mo,Liuan Zhuo,Zhihong Liao,Rongshan Li,Yu Chen,Jianfang Geng,Qiuping Mo,Liuan Zhuo,Zhihong Liao,Rongshan Li,Yu Chen,Jianfang Geng","This study aims to evaluate the association of serum growth differentiation factor 15 (GDF-15) with in-hospital mortality and arrhythmic risks in patients with acute myocardial infarction (AMI). A total of 296 consecutive patients with AMI were enrolled in our hospital from Jan. 2018 to Dec. 2020. Serum GDF-15 levels were measured at baseline. The primary endpoint was in-hospital all-cause mortality, and the secondary endpoint was major adverse cardiac events (MACEs) during hospitalization, defined as a composite of cardiovascular death, heart failure, sustained ventricular arrhythmias (ventricular tachycardia or ventricular fibrillation), and bleeding. During hospitalization, patients with a higher GDF-15 level had significantly higher incidences of in-hospital mortality (7.4% vs 1.4%; P = .02) and MACEs (9.5% vs 20.9%, P < .01) than those with a lower GDF-15 level. Multivariate logistic regression analysis showed that a higher GDF-15 level was significantly associated with increased risks of in-hospital mortality (OR = 1.92, 95% CI: 1.44-2.50; P < .01) and MACEs (OR = 2.19, 95% CI: 1.56-2.77; P < .01). In conclusion, GDF-15 was associated with the risks of in-hospital mortality and MACEs, indicating that it should be a prognostic biomarker for patients with AMI."
